year,city,country,avg_temp
1853,Wellington,New Zealand,11.21
1854,Wellington,New Zealand,11.99
1855,Wellington,New Zealand,12.09
1856,Wellington,New Zealand,11.64
1857,Wellington,New Zealand,11.49
1858,Wellington,New Zealand,11.51
1859,Wellington,New Zealand,12.21
1860,Wellington,New Zealand,12.32
1861,Wellington,New Zealand,12.91
1862,Wellington,New Zealand,12.45
1863,Wellington,New Zealand,11.83
1864,Wellington,New Zealand,12.58
1865,Wellington,New Zealand,12.58
1866,Wellington,New Zealand,12.91
1867,Wellington,New Zealand,12.83
1868,Wellington,New Zealand,12
1869,Wellington,New Zealand,12.42
1870,Wellington,New Zealand,12.42
1871,Wellington,New Zealand,12.04
1872,Wellington,New Zealand,12.82
1873,Wellington,New Zealand,12.5
1874,Wellington,New Zealand,12.16
1875,Wellington,New Zealand,12.45
1876,Wellington,New Zealand,12.88
1877,Wellington,New Zealand,12.34
1878,Wellington,New Zealand,12.28
1879,Wellington,New Zealand,12.29
1880,Wellington,New Zealand,12.95
1881,Wellington,New Zealand,12.61
1882,Wellington,New Zealand,12.36
1883,Wellington,New Zealand,12.12
1884,Wellington,New Zealand,11.4
1885,Wellington,New Zealand,11.91
1886,Wellington,New Zealand,11.93
1887,Wellington,New Zealand,12.25
1888,Wellington,New Zealand,11.7
1889,Wellington,New Zealand,12.31
1890,Wellington,New Zealand,12.49
1891,Wellington,New Zealand,12.12
1892,Wellington,New Zealand,12.64
1893,Wellington,New Zealand,12.94
1894,Wellington,New Zealand,12.68
1895,Wellington,New Zealand,12.17
1896,Wellington,New Zealand,12.27
1897,Wellington,New Zealand,12.36
1898,Wellington,New Zealand,12.11
1899,Wellington,New Zealand,11.98
1900,Wellington,New Zealand,12.23
1901,Wellington,New Zealand,12.09
1902,Wellington,New Zealand,11.58
1903,Wellington,New Zealand,12.03
1904,Wellington,New Zealand,11.88
1905,Wellington,New Zealand,11.91
1906,Wellington,New Zealand,11.66
1907,Wellington,New Zealand,12.46
1908,Wellington,New Zealand,12.07
1909,Wellington,New Zealand,12.68
1910,Wellington,New Zealand,12.8
1911,Wellington,New Zealand,12.53
1912,Wellington,New Zealand,11.98
1913,Wellington,New Zealand,12.29
1914,Wellington,New Zealand,12.35
1915,Wellington,New Zealand,12.59
1916,Wellington,New Zealand,13.29
1917,Wellington,New Zealand,12.96
1918,Wellington,New Zealand,12.33
1919,Wellington,New Zealand,12.17
1920,Wellington,New Zealand,12.22
1921,Wellington,New Zealand,12.52
1922,Wellington,New Zealand,12.65
1923,Wellington,New Zealand,12.43
1924,Wellington,New Zealand,13.13
1925,Wellington,New Zealand,12.14
1926,Wellington,New Zealand,12.27
1927,Wellington,New Zealand,12.53
1928,Wellington,New Zealand,13.22
1929,Wellington,New Zealand,12.47
1930,Wellington,New Zealand,11.85
1931,Wellington,New Zealand,12.03
1932,Wellington,New Zealand,12.23
1933,Wellington,New Zealand,12.76
1934,Wellington,New Zealand,12.84
1935,Wellington,New Zealand,13.13
1936,Wellington,New Zealand,12.54
1937,Wellington,New Zealand,12.32
1938,Wellington,New Zealand,13.52
1939,Wellington,New Zealand,12.51
1940,Wellington,New Zealand,12.39
1941,Wellington,New Zealand,12.4
1942,Wellington,New Zealand,12.79
1943,Wellington,New Zealand,12.55
1944,Wellington,New Zealand,12.63
1945,Wellington,New Zealand,12.35
1946,Wellington,New Zealand,12.63
1947,Wellington,New Zealand,12.73
1948,Wellington,New Zealand,13.1
1949,Wellington,New Zealand,12.72
1950,Wellington,New Zealand,12.83
1951,Wellington,New Zealand,12.36
1952,Wellington,New Zealand,12.75
1953,Wellington,New Zealand,12.68
1954,Wellington,New Zealand,13.06
1955,Wellington,New Zealand,13.23
1956,Wellington,New Zealand,13.48
1957,Wellington,New Zealand,13.17
1958,Wellington,New Zealand,13.04
1959,Wellington,New Zealand,12.71
1960,Wellington,New Zealand,12.85
1961,Wellington,New Zealand,12.8
1962,Wellington,New Zealand,13.57
1963,Wellington,New Zealand,12.69
1964,Wellington,New Zealand,12.81
1965,Wellington,New Zealand,12.49
1966,Wellington,New Zealand,12.55
1967,Wellington,New Zealand,12.78
1968,Wellington,New Zealand,12.9
1969,Wellington,New Zealand,12.71
1970,Wellington,New Zealand,13.52
1971,Wellington,New Zealand,13.53
1972,Wellington,New Zealand,12.73
1973,Wellington,New Zealand,13.22
1974,Wellington,New Zealand,13.28
1975,Wellington,New Zealand,13.32
1976,Wellington,New Zealand,12.31
1977,Wellington,New Zealand,12.21
1978,Wellington,New Zealand,13.19
1979,Wellington,New Zealand,13.16
1980,Wellington,New Zealand,12.82
1981,Wellington,New Zealand,13.4
1982,Wellington,New Zealand,12.61
1983,Wellington,New Zealand,12.65
1984,Wellington,New Zealand,13.29
1985,Wellington,New Zealand,13.26
1986,Wellington,New Zealand,13.16
1987,Wellington,New Zealand,13.27
1988,Wellington,New Zealand,13.35
1989,Wellington,New Zealand,13.56
1990,Wellington,New Zealand,13.64
1991,Wellington,New Zealand,12.82
1992,Wellington,New Zealand,12.14
1993,Wellington,New Zealand,12.35
1994,Wellington,New Zealand,12.89
1995,Wellington,New Zealand,13.15
1996,Wellington,New Zealand,13.07
1997,Wellington,New Zealand,12.77
1998,Wellington,New Zealand,13.97
1999,Wellington,New Zealand,13.87
2000,Wellington,New Zealand,13.4
2001,Wellington,New Zealand,13.58
