Year,Average Global Temperature,Moving Av. Global Temperature,Diff from previous year,"Wellington, NZ","Moving Av - Wellington, NZ",Diff from previous year,Temperature Increase - Diff,National Weather Trends,
1750,8.72,,,Not Available,,,,,
1751,7.98,,,Not Available,,,,,
1752,5.78,,,Not Available,,,,,
1753,8.39,,,Not Available,,,,,
1754,8.47,,,Not Available,,,,,
1755,8.36,,,Not Available,,,,,
1756,8.85,,,Not Available,,,,,
1757,9.02,,,Not Available,,,,,
1758,6.74,,,Not Available,,,,,
1759,7.99,,,Not Available,,,,,
1760,7.19,,,Not Available,,,,,
1761,8.77,,,Not Available,,,,,
1762,8.61,,,Not Available,,,,,
1763,7.5,,,Not Available,,,,,
1764,8.4,,,Not Available,,,,,
1765,8.25,,,Not Available,,,,,
1766,8.41,,,Not Available,,,,,
1767,8.22,,,Not Available,,,,,
1768,6.78,,,Not Available,,,,,
1769,7.69,,,Not Available,,,,,
1770,7.69,,,Not Available,,,,,
1771,7.85,,,Not Available,,,,,
1772,8.19,,,Not Available,,,,,
1773,8.22,,,Not Available,,,,,
1774,8.77,,,Not Available,,,,,
1775,9.18,,,Not Available,,,,,
1776,8.3,,,Not Available,,,,,
1777,8.26,,,Not Available,,,,,
1778,8.54,,,Not Available,,,,,
1779,8.98,,,Not Available,,,,,
1780,9.43,,,Not Available,,,,,
1781,8.1,,,Not Available,,,,,
1782,7.9,,,Not Available,,,,,
1783,7.68,,,Not Available,,,,,
1784,7.86,,,Not Available,,,,,
1785,7.36,,,Not Available,,,,,
1786,8.26,,,Not Available,,,,,
1787,8.03,,,Not Available,,,,,
1788,8.45,,,Not Available,,,,,
1789,8.33,,,Not Available,,,,,
1790,7.98,,,Not Available,,,,,
1791,8.23,,,Not Available,,,,,
1792,8.09,,,Not Available,,,,,
1793,8.23,,,Not Available,,,,,
1794,8.53,,,Not Available,,,,,
1795,8.35,,,Not Available,,,,,
1796,8.27,,,Not Available,,,,,
1797,8.51,,,Not Available,,,,,
1798,8.67,,,Not Available,,,,,
1799,8.51,,,Not Available,,,,,
1800,8.48,,,Not Available,,,,,
1801,8.59,,,Not Available,,,,,
1802,8.58,,,Not Available,,,,,
1803,8.5,,,Not Available,,,,,
1804,8.84,,,Not Available,,,,,
1805,8.56,,,Not Available,,,,,
1806,8.43,,,Not Available,,,,,
1807,8.28,,,Not Available,,,,,
1808,7.63,,,Not Available,,,,,
1809,7.08,,,Not Available,,,,,
1810,6.92,,,Not Available,,,,,
1811,6.86,,,Not Available,,,,,
1812,7.05,,,Not Available,,,,,
1813,7.74,,,Not Available,,,,,
1814,7.59,,,Not Available,,,,,
1815,7.24,,,Not Available,,,,,
1816,6.94,,,Not Available,,,,,
1817,6.98,,,Not Available,,,,,
1818,7.83,,,Not Available,,,,,
1819,7.37,,,Not Available,,,,,
1820,7.62,,,Not Available,,,,,
1821,8.09,,,Not Available,,,,,
1822,8.19,,,Not Available,,,,,
1823,7.72,,,Not Available,,,,,
1824,8.55,,,Not Available,,,,,
1825,8.39,,,Not Available,,,,,
1826,8.36,,,Not Available,,,,,
1827,8.81,,,Not Available,,,,,
1828,8.17,,,Not Available,,,,,
1829,7.94,,,Not Available,,,,,
1830,8.52,,,Not Available,,,,,
1831,7.64,,,Not Available,,,,,
1832,7.45,,,Not Available,,,,,
1833,8.01,,,Not Available,,,,,
1834,8.15,,,Not Available,,,,,
1835,7.39,,,Not Available,,,,,
1836,7.7,,,Not Available,,,,,
1837,7.38,,,Not Available,,,,,
1838,7.51,,,Not Available,,,,,
1839,7.63,,,Not Available,,,,,
1840,7.8,,,Not Available,,,,,
1841,7.69,,,Not Available,,,,,
1842,8.02,,,Not Available,,,,,
1843,8.17,,,Not Available,,,,,
1844,7.65,,,Not Available,,,,,
1845,7.85,,,Not Available,,,,,
1846,8.55,,,Not Available,,,,,
1847,8.09,,,Not Available,,,,,
1848,7.98,,,Not Available,,,,,
1849,7.98,,,Not Available,,,,,
1850,7.9,,,Not Available,,,,,
1851,8.18,,,Not Available,,,,,
1852,8.1,,,Not Available,,,,,
1853,8.04,,,11.21,,,,,
1854,8.21,,,11.99,,,,,
1855,8.11,,,12.09,,,,,
1856,8,,,11.64,,,,,
1857,7.76,,,11.49,,,,,
1858,8.1,,,11.51,,,,,
1859,8.25,,,12.21,,,,,
1860,7.96,,,12.32,,,,,
1861,7.85,,,12.91,,,,,
1862,7.56,,,12.45,,,,,
1863,8.11,,,11.83,,,,,
1864,7.98,,,12.58,,,,,
1865,8.18,,,12.58,,,,,
1866,8.29,,,12.91,,,,,
1867,8.44,,,12.83,,,,,
1868,8.25,,,12,,,,,
1869,8.43,,,12.42,,,,,
1870,8.2,,,12.42,,,,,
1871,8.12,,,12.04,,,,,
1872,8.19,,,12.82,,,,,
1873,8.35,,,12.5,,,,,
1874,8.43,,,12.16,,,,,
1875,7.86,,,12.45,,,,,
1876,8.08,,,12.88,,,,,
1877,8.54,,,12.34,,,,,
1878,8.83,,,12.28,,,,,
1879,8.17,,,12.29,,,,,
1880,8.12,,,12.95,,,,,
1881,8.27,,,12.61,,,,,
1882,8.13,,,12.36,,,,,
1883,7.98,,,12.12,,,,,
1884,7.77,,,11.4,,,,,
1885,7.92,,,11.91,,,,,
1886,7.95,,,11.93,,,,,
1887,7.91,,,12.25,,,,,
1888,8.09,,,11.7,,,,,
1889,8.32,,,12.31,,,,,
1890,7.97,,,12.49,,,,,
1891,8.02,,,12.12,,,,,
1892,8.07,,,12.64,,,,,
1893,8.06,,,12.94,,,,,
1894,8.16,,,12.68,,,,,
1895,8.15,,,12.17,,,,,
1896,8.21,,,12.27,,,,,
1897,8.29,,,12.36,,,,,
1898,8.18,,,12.11,,,,,
1899,8.4,,,11.98,,,,,
1900,8.5,8.133191489,0.009787234,12.23,12.26489362,,,,
1901,8.54,8.142978723,0.009787234,12.09,12.28659574,0.021702128,0.01,Average global temperature increase rate:,
1902,8.3,8.15,0.007021277,11.58,12.2887234,0.00212766,0.00,0.0081243,
1903,8.22,8.154042553,0.004042553,12.03,12.27787234,-0.010851064,-0.01,,
1904,8.09,8.158723404,0.004680851,11.88,12.28617021,0.008297872,0.00,Average global temperature:,
1905,8.23,8.165744681,0.007021277,11.91,12.29446809,0.008297872,0.00,8.511483763,
1906,8.38,8.168510638,0.002765957,11.66,12.30297872,0.008510638,0.01,Mean temperature increase,
1907,7.95,8.171276596,0.002765957,12.46,12.2912766,-0.011702128,-0.01,0.0081243,
1908,8.19,8.17106383,-0.000212766,12.07,12.29425532,0.002978723,0.00,Standard Deviation,
1909,8.18,8.178297872,0.007234043,12.68,12.27638298,-0.01787234,-0.03,0.006627257,
1910,8.22,8.191489362,0.013191489,12.8,12.2812766,0.004893617,-0.01,Stardard Error,
1911,8.18,8.193829787,0.002340426,12.53,12.30191489,0.020638298,0.02,0.0006207,
1912,8.17,8.198085106,0.004255319,11.98,12.30085106,-0.00106383,-0.01,,
1913,8.3,8.19787234,-0.000212766,12.29,12.28808511,-0.012765957,-0.01,Prediction in 10 years,
1914,8.59,8.198085106,0.000212766,12.35,12.27489362,-0.013191489,-0.01,,
1915,8.59,8.201276596,0.003191489,12.59,12.26468085,-0.010212766,-0.01,0.081243001,
1916,8.23,8.208510638,0.007234043,13.29,12.27723404,0.012553191,0.01,,
1917,8.02,8.204255319,-0.004255319,12.96,12.29574468,0.018510638,0.02,,
1918,8.13,8.200425532,-0.003829787,12.33,12.30723404,0.011489362,0.02,,
1919,8.38,8.200638298,0.000212766,12.17,12.31340426,0.006170213,0.01,,
1920,8.36,8.204680851,0.004042553,12.22,12.29957447,-0.013829787,-0.02,,
1921,8.57,8.204893617,0.000212766,12.52,12.29361702,-0.005957447,-0.01,,
1922,8.41,8.20787234,0.002978723,12.65,12.3012766,0.007659574,0.00,,
1923,8.42,8.219574468,0.011702128,12.43,12.30553191,0.004255319,-0.01,,
1924,8.51,8.226808511,0.007234043,13.13,12.29595745,-0.009574468,-0.02,,
1925,8.53,8.226170213,-0.000638298,12.14,12.31276596,0.016808511,0.02,,
1926,8.73,8.219787234,-0.006382979,12.27,12.30978723,-0.002978723,0.00,,
1927,8.52,8.231702128,0.011914894,12.53,12.3093617,-0.000425532,-0.01,,
1928,8.63,8.240212766,0.008510638,13.22,12.30042553,-0.00893617,-0.02,,
1929,8.24,8.24787234,0.007659574,12.47,12.31340426,0.012978723,0.01,,
1930,8.63,8.250212766,0.002340426,11.85,12.31574468,0.002340426,0.00,,
1931,8.72,8.264042553,0.013829787,12.03,12.31,-0.005744681,-0.02,,
1932,8.71,8.284255319,0.020212766,12.23,12.32340426,0.013404255,-0.01,,
1933,8.34,8.30106383,0.016808511,12.76,12.33021277,0.006808511,-0.01,,
1934,8.63,8.309361702,0.008297872,12.84,12.34787234,0.017659574,0.01,,
1935,8.52,8.324680851,0.015319149,13.13,12.36042553,0.012553191,0.00,,
1936,8.55,8.333829787,0.009148936,12.54,12.39085106,0.030425532,0.02,,
1937,8.7,8.338723404,0.004893617,12.32,12.39574468,0.004893617,0.00,,
1938,8.86,8.354255319,0.015531915,13.52,12.39212766,-0.003617021,-0.02,,
